track_id,name,artist,memory_lane_index,world,first_play,enc_plays,enc_concentration,enc_completion,age_at_first_play,bump_weight
sim01132,Blue Hour on Repeat,Paper Weather,32.64421565876262,low acousticness · high energy,2024-12-13,109,0.22935779816513763,0.8543026360752718,19.95277207392197,0.9825963984421963
sim01248,Almost in Reverse,Neon Avenue,27.572819056554483,high acousticness · low energy,2026-05-23,29,0.3103448275862069,0.8408855472348357,21.39151266255989,0.9735410291290191
sim01085,Blue Hour in Reverse,Quiet Lantern,27.189678032164178,low acousticness · high energy,2025-05-03,13,0.3076923076923077,0.805793224276491,20.33675564681725,0.9805758890188225
sim00953,All the Same Out Loud,Midnight Rivers,23.663182610900762,high acousticness · low energy,2025-08-23,11,0.2727272727272727,0.7823686009281577,20.643394934976044,0.9787668486419502
sim00085,Everything Out Loud,Distant Telegraph,22.381773148411042,low acousticness · high energy,2025-01-02,62,0.2903225806451613,0.8569514661917585,20.005475701574266,0.9823344792530208
sim00311,Homework,Hollow Season,20.830974455815614,low acousticness · high energy,2026-06-04,23,0.391304347826087,0.753175336316733,21.424366872005475,0.973282780898695
sim00785,Almost for Free,Paper Avenue,20.635064513277122,high acousticness · low energy,2025-02-25,35,0.22857142857142856,0.7724166049666821,20.1533196440794,0.9815739127685283
sim00758,Homework Out Loud,Velvet Motel,20.587463862331663,low acousticness · high energy,2026-01-18,29,0.27586206896551724,0.7985513400817491,21.04928131416838,0.9760826483972872
sim00987,Blue Hour in June,Iron Machines,19.62415367740156,low acousticness · high energy,2025-01-17,9,0.4444444444444444,0.8181884111829585,20.046543463381244,0.98212705528944
sim01348,Radio Forever,Glass Season,19.41881866179615,high acousticness · low energy,2025-05-29,41,0.24390243902439024,0.8121202411990276,20.407939767282684,0.9801719177192437
sim00007,Second Again,Wild Rivers,19.07891774759145,low acousticness · high energy,2026-03-14,15,0.26666666666666666,0.7776642994950946,21.199863107460644,0.9749971146961864
sim00138,Slow Dancing Downhill,Iron Machines,18.946265664702914,low acousticness · high energy,2025-10-29,51,0.23529411764705882,0.836781252873866,20.826830937713893,0.9775961698099944
sim00533,Almost Forever,Amber Foxes,18.187451258449407,low acousticness · high energy,2026-01-21,25,0.36,0.7793772595773245,21.057494866529773,0.9760247304936571
sim00633,Ninety Miles Again,Salt Garden,18.09928325542239,low acousticness · high energy,2024-12-15,36,0.2222222222222222,0.7949506501629036,19.958247775496236,0.9825694084491644
sim00841,Slow Dancing for Free,Velvet Ceiling,17.64443618590769,low acousticness · high energy,2025-09-07,16,0.25,0.7944499488621836,20.684462696783026,0.978510663640891
sim00946,Slow Dancing Out Loud,Hollow Static,16.346759493422933,low acousticness · high energy,2025-08-11,46,0.2608695652173913,0.8181523549186847,20.61054072553046,0.9789693832219393
sim00382,The Long Way by Morning,Velvet Static,16.116130301870832,low acousticness · high energy,2025-10-16,8,0.875,0.6133138536420424,20.791238877481177,0.9778286768752827
sim00962,Half by Morning,Neon Weather,16.025880525759252,low acousticness · high energy,2024-12-12,29,0.2413793103448276,0.7514666361337996,19.95003422313484,0.9826098741707131
sim01028,Homework on Repeat,Iron Foxes,15.917570183920867,low acousticness · high energy,2025-09-01,54,0.25925925925925924,0.7430083667930424,20.66803559206023,0.978613541641229
sim01374,Cold Open at the End (v2),Neon Machines,15.617431698145134,low acousticness · high energy,2025-09-02,10,0.7,0.7167044947305506,20.670773442847366,0.9785964327934034
sim00273,Faultline in Colour,Neon Weather,15.321808485781249,low acousticness · high energy,2024-12-28,21,0.19047619047619047,0.755966560484823,19.993839835728952,0.9823927174702874
sim00568,Faultline Tonight,Golden Season,14.560717479176235,low acousticness · high energy,2025-03-30,17,0.29411764705882354,0.8406615943837475,20.243668720054757,0.9810899974526427
sim00577,Faultline on Repeat,Iron Weather,13.823172335931943,high acousticness · low energy,2025-02-23,19,0.3157894736842105,0.7857852502171371,20.147843942505133,0.9816027700955678
sim01242,Homework in Reverse,Slow Telegraph,13.595951543243231,low acousticness · high energy,2024-12-01,24,0.25,0.8015096906593747,19.919917864476385,0.9827572615067401
sim00727,Half Without You,Hollow Static,13.329039560194703,low acousticness · high energy,2025-09-07,17,0.29411764705882354,0.751496346845395,20.684462696783026,0.978510663640891
sim01307,Second on Repeat,Copper Lantern,12.938874350805971,low acousticness · high energy,2024-12-05,4,0.5,0.6303770318006738,19.930869267624914,0.9827038452426324
sim01191,Backseat in Colour,Velvet Lantern,12.027076425028163,low acousticness · high energy,2025-10-19,7,0.2857142857142857,0.6467826539601186,20.799452429842574,0.9777752532450507
sim00325,Everything on Repeat,Northern Harbour,12.001348025398395,low acousticness · high energy,2025-11-06,6,0.5,0.7203167342255637,20.84873374401095,0.9774517852164778
sim01176,Cold Open Downhill (v2),Amber Avenue,11.601271078313127,low acousticness · high energy,2025-07-03,21,0.2857142857142857,0.7911663916620397,20.503764544832308,0.9796130059260351
sim00884,All the Same on Repeat,Amber Foxes,11.54582436473595,high acousticness · low energy,2025-12-23,58,0.41379310344827586,0.8028780138638925,20.97741273100616,0.9765831775989339
