hour,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,10218,1349,976,941,721,668,549,398,274,231,223,182,138,138,103,97,82,58,51,60,54,28,34,28,33,33,22,14,15,8,9,4,7,8,5,6,5,2,0,2,4,2,2,3,4,10
8,28230,5382,3355,1975,1448,935,646,402,332,214,181,143,134,130,113,112,91,70,59,48,55,43,49,41,19,30,28,19,19,19,11,3,11,13,7,11,9,3,9,6,4,4,2,3,2,21
9,35114,9604,6827,5574,4562,3624,2993,2439,1852,1218,751,392,239,137,107,87,81,50,51,55,42,40,35,22,28,24,24,19,15,16,11,10,9,8,9,8,6,8,7,4,3,3,4,3,2,30
10,28373,9177,7352,6807,6540,5867,5446,5011,4330,3125,2235,1464,835,458,228,98,70,68,39,38,39,36,30,27,14,19,20,15,12,15,8,5,9,10,7,7,5,6,3,3,5,4,2,3,0,24
11,23902,8004,6666,6369,6186,6522,5795,4807,3890,3084,2053,1307,696,319,202,125,58,51,36,31,21,20,22,29,24,24,12,7,11,6,8,9,9,6,6,4,3,2,4,5,1,2,2,7,3,23
12,24060,7878,6439,5662,5180,4650,4051,3542,2705,1924,1237,678,359,144,73,52,40,22,40,23,23,28,25,15,16,11,20,6,14,6,12,4,3,3,4,4,3,3,3,4,2,0,5,1,0,18
13,23498,7011,5208,4454,3795,3347,2642,1903,1311,900,468,288,148,72,53,36,40,38,28,25,25,19,25,23,10,18,10,8,7,13,7,4,3,3,5,2,2,6,4,5,2,6,1,6,3,14
14,24738,6667,4488,3546,2983,2438,1897,1235,906,471,247,183,122,80,45,57,29,38,44,34,20,23,30,18,19,14,9,10,14,8,6,5,3,9,9,10,3,3,4,2,2,1,2,3,1,16
15,29512,7949,5386,4016,2938,2259,1717,1182,763,523,354,191,136,66,45,42,34,29,34,26,27,21,16,16,10,19,9,16,9,7,4,5,4,2,7,1,3,6,1,3,1,3,3,3,0,8
16,33988,9780,7224,5692,4474,3507,2631,1865,1149,734,438,224,139,54,44,41,28,29,26,15,17,17,5,6,15,13,10,15,9,8,4,9,3,5,1,1,1,0,3,1,1,1,0,2,1,9
17,30190,10936,8625,7897,7135,6620,5314,4575,3228,2341,1505,775,442,227,95,39,30,11,23,14,13,12,9,9,10,5,8,10,6,5,2,5,0,1,3,2,4,2,0,0,0,0,1,1,0,7
18,21035,8175,7317,6683,6728,6628,6245,5622,4628,3868,2833,1814,1072,611,308,120,50,20,10,8,7,7,7,3,6,5,4,3,1,2,1,3,1,0,1,0,0,0,0,0,0,0,0,0,0,1
19,12304,5008,4389,4299,4042,3768,3642,3242,2355,1765,1263,797,419,211,98,45,37,7,9,2,1,3,5,2,2,1,2,0,0,0,0,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0
20,3705,1421,1291,1086,875,752,565,424,240,135,77,19,16,2,2,3,0,2,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
